VALUE,LOT,YEAR,AREA,LIVING_A,FLOORS ,ROOMS
344.2,9965,1880,2436,1352,2,6
412.6,6590,1945,3108,1976,2,10
330.1,7500,1890,2294,1371,2,8
498.6,13773,1957,5032,2608,1,9
331.5,5000,1910,2370,1438,2,7
337.4,5142,1950,2124,1060,1,6
359.4,5000,1954,3220,1916,2,7
320.4,10000,1950,2208,1200,1,6
333.5,6835,1958,2582,1092,1,5
409.4,5093,1900,4818,2992,2,8
313,5000,1960,2624,1485,1.5,6
344.5,6768,1958,2844,1460,1.5,6
315.5,5000,1889,2196,1290,2,6
575,12288,2004,4616,2378,2,9
326.2,5000,1954,2536,1272,1.5,6
298.2,5000,1940,2129,864,1,7
313.1,6949,1880,2612,1438,1.5,7
344.9,10000,1950,2099,1445,1,7
330.7,5000,1910,2408,1470,2,7
348,9001,1875,2840,1632,2,7
317.5,4450,1920,1400,1232,2,7
330.8,5000,1889,2560,1302,1.5,6
357.8,12255,1944,2631,1275,1.5,6
414.7,12972,1892,3796,2054,1.5,6
318.8,4717,1900,2512,1371,2,7
346.2,5000,1910,2655,1541,2,7
245.1,4142,1880,1892,927,1.5,5
317.4,5000,1910,2596,1244,1.5,7
247.3,4012,1896,1994,1048,1.5,6
320.8,13275,1910,1516,808,1.5,6
328.8,4717,1906,2824,1469,1.5,6
293.6,4289,1910,2286,1436,2,7
280.1,10688,1890,3014,1625,2,7
342.5,4717,1925,2802,1620,2,7
337.2,5000,1920,3112,1906,2,9
336.5,6842,1910,2269,1393,2,6
315.6,6675,1945,2392,1394,1.5,6
296.5,5683,1960,2982,1452,1,6
239.7,5450,1963,2112,960,1,5
318.4,4717,1915,3222,1803,1,7
431.5,6733,1990,2880,1792,2,7
349.8,7242,1910,2496,1460,2,7
344,5683,1940,3136,1870,2,9
358.3,6138,1910,2500,1690,2,7
346.2,11250,1900,2830,1391,1.5,6
490.7,5683,1995,4100,2640,2,6
371.9,7001,1996,2320,1500,2,7
325.3,4717,1910,2592,1572,2,7
340.5,8489,1950,2368,1326,1.5,6
432.5,7139,1996,2340,1500,2,7
334.7,4584,1907,3288,1694,2,7
314.3,7193,1900,2740,1508,2,7
405.5,3867,1996,2431,1560,2,7
326,4262,1960,2090,1300,2,7
285.6,5325,1945,3060,1364,1,5
345.9,8005,1900,2490,1562,2,7
317.3,7234,1910,2289,1440,2,7
277.8,5959,1940,2036,1018,1,5
306.8,7785,1860,2038,1056,1.5,6
265.7,3887,1950,2364,1075,1,6
356.8,5906,1967,2368,2051,1,8
299.9,5401,1991,1800,1800,2,6
287.8,3204,1991,1800,1800,2,6
296,2947,1991,1800,1800,2,6
300.6,4241,1991,1800,1800,2,6
566.3,8249,2007,4390,2708,2,8
286,7655,1910,3013,1318,1.5,7
351.2,10000,1875,2232,1392,2,7
365.1,5058,1910,3362,1763,2,8
330,6330,1940,2644,1386,1.5,6
354.1,4984,1940,2441,1464,2,7
335.8,6111,1964,2262,1740,1,7
345,20000,1900,1754,845,1.5,6
356.4,5967,1942,3442,1836,2,8
379,7940,1900,3894,2436,2,8
352.1,6003,1987,2178,1350,2,7
437.3,7000,1997,2628,1680,2,6
404.2,5488,1940,3780,1992,1.5,8
283.4,4774,1940,3128,1470,1,5
326.4,6029,1940,2620,1265,1.5,6
309.2,5057,1948,2244,1224,1.5,7
332.9,5682,1940,2484,1488,2,7
260.4,3819,1930,2468,1299,1.5,6
339.3,5651,1940,2454,1306,1.5,6
307.9,5005,1928,2078,1369,2,6
346.3,8145,1940,2664,1546,1.5,6
479.1,9642,1999,2952,1872,2,7
335.6,6475,1946,2684,1265,1.5,6
261.5,4175,1940,1536,768,1,4
355.1,5400,1940,2650,1224,1.5,7
356.8,5005,1996,2660,1680,2,6
287.3,3288,1955,2764,1503,1.5,7
331.9,5400,1940,2536,1224,1.5,6
387.1,8238,1968,3972,1922,1,9
307.6,5092,1945,2539,1306,1.5,6
360.9,5400,1950,2508,1440,2,6
466.1,8970,1999,2952,1872,2,7
340,5400,1940,2714,1376,1.5,6
303.9,8200,1934,2608,1304,1,6
303.5,4200,1960,2670,1710,2,10
301.4,6444,1940,2886,1474,1.5,6
339.9,5035,1925,3264,1523,1,6
281.3,3960,1955,2590,1630,2,8
530.1,6227,1999,4013,2359,2,8
310.4,3150,1955,2456,1620,2,7
344.6,8151,1983,4532,2056,1,5
525.1,6257,2001,4124,2494,2,9
285.3,5024,1940,2556,1306,1.5,6
302.3,4200,1930,2272,1352,2,8
243.3,3150,1962,2496,1420,1.5,4
334.9,6012,1910,3185,1911,2,7
327.5,5968,1910,3216,1839,2,7
586.6,8890,2001,4791,2774,2,9
347.3,7355,1920,3516,1980,2,7
267.6,5077,1956,876,876,1,5
274.2,3617,1955,2784,1435,1.5,5
404.6,6253,1959,3077,1989,1,6
339.9,6300,1960,1730,1625,1,7
420.8,7861,1967,4182,2888,1,12
283.5,4200,1930,2488,1484,2,6
620.3,6255,2001,6016,3446,2,10
346.3,4050,1940,2756,1150,1,6
295.07,5131,1945,1840,1486,1.5,6
297.6,3628,1962,2736,1680,2,7
310.7,6001,1969,2124,2074,1,10
442.6,4800,1999,3960,2282,2,6
277.5,4050,1945,2108,1014,1,6
310.6,3639,1955,2784,1421,1.5,7
327.1,6754,1960,2705,1340,1,6
307.5,2100,1989,2244,1400,2,6
243.3,4200,1955,2508,1120,1,6
352.8,6001,1965,1964,1826,1,8
258.6,5460,1950,2188,1080,1,6
295.5,4050,1960,2592,1387,1.5,6
490.7,6011,1999,4368,2483,2,9
330.3,6317,1969,2385,1440,2,6
290.8,6850,1958,2568,1414,1.5,6
350.7,9600,1950,4063,1636,1,9
301.1,6000,1965,2098,1696,1,7
278.7,6400,1974,2161,1633,1,8
298.2,5824,1945,2696,1120,1,6
249,4200,1950,1976,988,1,5
287.5,6000,1965,2347,1781,1,8
434.3,13267,1960,3813,1931,1.5,6
508.8,3911,2004,3836,2416,2,7
338.8,10537,1910,2100,1380,2,7
363.5,7468,1972,2815,2035,2,10
335.3,6400,1974,3404,2612,1,7
353.5,12600,1955,2910,1347,1,6
291.5,6000,1971,2080,2028,1,8
325.8,4900,1970,2835,1659,2,8
368.2,7200,1900,3223,1669,2,7
361.7,6000,1978,2530,1590,2,7
286.3,6000,1965,2296,1781,1,8
315.7,6400,1965,2198,1633,1,8
282.4,7770,1950,1800,900,1,5
337.5,5914,1925,2594,1131,1,6
320.1,5290,1950,2800,1824,2,7
272.9,2800,1920,2663,1430,2,6
243.2,4868,1950,1628,800,1,5
305,7448,1984,2358,1306,1.5,8
277.7,2800,1955,2324,1306,1.5,7
316.9,4449,1910,2302,1208,1.5,6
297.1,6000,1971,2456,1997,1,7
467,4800,2003,3924,2206,2,9
302.4,7440,1950,2040,900,1,6
253.2,4200,1955,2507,1403,1.5,6
375.1,6000,1978,2370,1590,2,7
242.9,4151,1920,2068,1248,2,7
307.1,6000,1965,2308,2009,1,9
274.1,6781,1956,2064,1000,1,5
237,3200,1911,1292,1020,2,6
253,6300,1964,2507,1155,1,6
299.4,6081,1960,2212,1082,1,5
286.9,7912,1955,1848,864,1,6
327.5,6000,1980,2466,1590,2,7
367.5,4895,1989,2728,1800,2,7
308,5160,1920,2658,1452,2,7
516.7,6000,2005,4623,2597,2,11
348.7,7000,1986,2467,1954,1,9
367.1,6750,1956,2216,1216,1,8
299.4,3900,1920,3475,1754,2,7
296.5,7416,1960,2164,1082,1,6
360,4544,1989,2704,1800,2,6
325.9,3500,1960,2632,1632,2,6
360.8,6000,1978,2466,1590,2,7
283,3200,1965,2120,1410,2,7
368,2295,2002,2718,1728,2,7
297.8,7442,1950,2438,1204,1,6
239.9,2800,1955,2364,1306,1.5,7
293.7,6548,1960,2164,1082,1,5
412.4,6000,1993,2991,1680,2,6
382,7300,1978,2524,1590,2,7
275,4294,1965,2295,1470,2,7
318.2,8001,1925,3228,1408,1,5
266.3,6089,1960,2180,1082,1,5
282.2,4392,1914,2773,1568,2,7
325.2,5950,1962,2448,2293,1,8
287.8,6750,1956,2060,960,1,6
354.2,6000,1926,2936,1650,2,8
289.5,4335,1965,2087,1326,2,7
186.3,4300,1920,1926,960,1,5
398.1,7287,1999,2892,1800,2,6
283.5,4824,1916,1795,933,1.5,7
254.5,5095,1960,2184,1082,1,5
303.9,6000,1940,1904,1228,2,6
262.1,2100,1900,1800,972,1.5,6
273.1,7258,1950,1992,900,1,5
210.9,4281,1929,2047,900,1,5
272.4,4416,1925,2413,1083,1,8
279.6,6026,1960,2376,1487,1,9
348.9,5300,1963,2616,1966,1,8
325.2,6750,1950,2710,1305,1.5,6
323,2100,1900,2414,1544,2.5,6
337.3,6730,1963,2926,1871,2,7
182.7,1616,1920,1439,856,2,5
285.8,5144,1963,2732,1539,1.5,6
259,4200,1900,2962,1744,2,6
331.1,5307,1960,2232,1726,1,8
329.2,5663,1965,2212,1320,2,7
239.3,3420,1918,2107,1310,2,6
272,6073,1951,1928,900,1,5
207.9,2968,1920,2027,938,1.5,5
294.4,6750,1950,2216,1000,1,5
312.5,6099,1960,2638,2156,1,6
401.7,8056,2001,3156,1976,2,8
288.5,3150,1900,2342,1467,2,7
305.4,6291,1960,2126,1380,2,6
283.9,4200,1915,2697,1552,2,7
272.2,5507,1960,2592,1469,1.5,7
271.3,5769,1960,2136,1487,1,6
300.2,6444,1957,2808,1469,1.5,6
279.8,6720,1960,2492,1246,1,6
509.4,24677,1960,6100,2601,1.5,8
298.9,7133,1950,2408,1008,1,6
325,3850,1910,2235,1276,2,8
356,6750,1950,2526,1200,1,7
241.3,3360,1920,2119,1105,1.5,6
314.3,7109,1960,2239,1380,2,8
366.3,6327,2001,3156,1976,2,7
323.1,5643,1960,3048,1896,2,8
286.9,6044,1957,2634,1469,1.5,5
293.2,7408,1950,2459,984,1,5
293.8,5835,1960,2680,1469,1.5,6
167.6,1980,1900,1502,690,1,3
253.3,3402,1924,2057,1350,2,6
269.3,3850,1910,1816,1152,2,6
310.2,7200,1909,2370,1364,2,5
217.9,3360,1957,2160,1008,1,6
395,4291,1990,2815,1684,2,6
298.5,6514,1960,2118,1380,2,8
561.8,9604,2006,3960,2455,2,8
220,3205,1924,2117,1061,1.5,6
334.4,7622,1940,2896,1510,1.5,6
331.2,7796,1962,2760,1469,1.5,7
311.9,6750,1950,2336,1140,1,7
286.3,3628,1950,2232,1056,1,5
311.9,13209,1950,2304,1075,1,6
144.6,1017,1920,1293,797,1.5,5
292.5,5602,1960,2643,1469,1.5,6
233.7,3360,1950,2409,1008,1,6
287.8,6000,1960,2116,1726,1,6
309.5,5958,1960,2431,1560,2,6
278.4,4343,1959,2064,912,1,6
222.4,3850,1905,1832,1188,2,5
319.9,6539,1943,3045,1712,1.5,8
306.5,6021,1969,2092,1016,1,6
240.9,3728,1920,1698,936,1.5,6
270.7,5013,1900,2339,1497,2,6
314.2,3486,1960,2344,1713,1,8
306.5,6000,1967,1984,968,1,6
402.5,5981,1950,3434,2369,2,9
358.4,12853,1950,2329,1625,2,7
309.1,6794,1959,2260,1577,1,8
348.9,4311,1950,2972,1529,1.5,6
331.3,8323,1960,2116,1966,1,8
562,7682,2005,4184,2724,2,8
246.4,3780,1950,2412,1008,1,6
298,5931,1961,2912,1533,1.5,8
287.2,6750,1950,2344,1000,1,5
279.4,6540,1945,2304,1075,1,6
308.9,13051,1942,2324,1075,1,6
273.6,4200,1955,2428,1075,1,7
400.8,4117,1992,2744,2079,2,7
338,6000,1960,2244,2134,1,7
294.3,4486,1950,2612,1378,1.5,6
357.7,6057,1960,2636,1966,1,6
319.1,4386,1950,2504,1313,1.5,7
206,2436,1920,2476,1265,1.5,5
282.1,4603,1910,2531,1426,2,7
282.4,5401,1960,2016,968,1,5
293.9,5110,1950,2412,1306,1.5,6
322.4,5981,1940,2504,1506,1.5,7
337.2,13250,1950,2508,1075,1,6
313.7,4288,1965,2368,1368,2,9
280.2,4200,1955,2164,1200,2,6
297.8,5975,1955,2628,1469,1.5,7
474.4,5604,2008,3526,2118,2,8
269,5301,1910,3714,2428,2,9
313.6,4998,1959,2203,1589,1,7
322.1,7163,1965,2116,1487,1,7
204.9,4200,1920,2296,990,1,5
563.1,9021,2005,4065,2605,2,8
313.1,4696,1965,2184,1368,2,7
282.5,6000,1960,2212,1538,1,8
337,6047,1950,2568,1490,1.5,7
331.2,13494,1950,2340,1306,1.5,6
311.1,6000,1960,2140,1966,1,7
355.9,5998,1960,2184,1726,1,8
315,6725,1964,2064,1372,2,6
177.4,3624,1910,821,600,1,5
298.1,6000,1960,2212,1692,1,7
331,3603,1930,3063,1612,2,5
396.8,14065,1940,2424,1306,1.5,9
349.3,5050,1900,3502,1842,2,9
338.2,9733,1920,2902,1377,1.5,6
276.6,4200,1955,2000,1200,2,6
255,4200,1960,1940,970,1,7
277.7,4759,1959,1989,918,1,5
347.9,4269,1960,2236,1368,2,6
440.2,8247,1940,3210,1980,2,7
357.3,7939,1964,2136,1726,1,9
558.8,8317,2005,4133,2605,2,8
305,3861,1965,2191,1369,2,7
322.4,4265,1900,2307,1350,2,6
105,997,1910,1319,504,1,4
380.6,6074,1965,2668,2014,1,8
350.1,14707,1942,3057,1529,1.5,7
302.8,5975,1960,2326,1380,2,7
310.7,6465,1960,1948,1404,1,5
290.2,6000,1960,2212,1692,1,7
320.2,6047,1957,2486,1387,1.5,6
313.6,8104,1955,3202,1492,1,5
320,4411,1960,2284,1558,1,7
282.2,5823,1963,2100,1320,2,6
287.4,5277,1959,2092,952,1,7
336.6,4200,1960,3870,1953,1.5,7
307.2,6100,1960,2184,1583,1,8
277,4749,1961,1953,1404,1,7
347.2,10050,1942,3104,1706,2,8
201,4435,1900,2823,1637,2,7
353.5,9747,1960,2100,1726,1,9
423.4,9730,1992,2776,2188,1,8
323.5,6022,1961,3246,1679,1.5,7
576,6864,2005,5122,3108,2,8
301.1,6271,1961,1530,1360,1,8
374,7550,1943,2623,1306,1.5,6
300,5975,1955,2736,1469,1.5,7
348.8,5999,1960,2556,1966,1,7
308.6,5742,1960,2120,1320,2,7
320.9,8088,1967,2240,1726,1,8
326.8,4880,1960,2556,1354,1.5,6
354.4,6710,1925,3196,1786,2,7
265.3,7045,1920,2697,1378,1.5,6
376.2,2700,1990,2448,1536,2,8
296.9,4659,1950,1984,1404,1,5
252.985,7270,1920,2210,1326,2,7
339.1,5273,1943,2769,1734,2,7
299.4,4949,1960,2088,1726,1,6
323.5,5204,1965,2508,1402,1.5,6
359.3,5918,1988,2574,1930,1,8
361.7,5376,1920,2156,1370,2,7
256.4,2410,1950,2535,1632,2,7
236.7,3248,1920,1620,1270,2,6
250.3,4270,1920,2017,1232,2,6
340.7,5941,1962,2712,1469,1.5,7
312.5,5939,1957,3160,1609,1.5,7
287.4,6100,1960,2076,1701,1,7
320.8,6000,1967,2425,1151,1,7
329.4,6043,1957,2628,1536,1.5,7
307.4,10067,1960,2238,1726,1,8
327,10030,1950,2344,1275,1.5,6
406.9,6756,1996,2604,1680,2,7
270.4,5246,1940,2568,1360,1.5,6
278.6,6076,1940,2264,1320,2,6
392,5671,1958,3412,2010,2,9
310.7,4407,1960,1968,1404,1,6
283,4514,1959,2140,1404,1,5
353.5,5885,1988,2418,1930,1,9
302.3,6043,1964,2244,1641,1,8
424.9,5518,2003,2500,1560,2,6
348.3,5441,1960,2416,1726,1,8
354.3,9351,1960,2296,1247,1,7
297.9,5151,1962,2652,1469,1.5,7
327.2,6042,1954,2840,1550,1.5,7
306.1,6877,1963,2240,1808,1,6
428.2,5965,1963,2998,1637,1.5,8
366.3,5662,1961,2805,1750,2,7
263.1,5273,1950,2448,1306,1.5,6
388.7,5775,1988,2906,1469,1.5,8
313.6,5715,1960,2540,1940,2,6
263,4473,1960,1961,1404,1,7
241.3,4410,1961,1964,1404,1,7
326,6194,1950,2816,1311,1,5
301,6200,1963,2067,1726,1,6
272.6,5246,1945,2488,1306,1.5,7
301.6,6000,1967,2166,1726,1,6
366.8,7128,1960,2156,1726,1,6
311,5981,1960,2364,1320,2,6
282.5,6000,1960,2116,1726,1,5
301.2,5658,1964,2640,1464,1.5,7
298.8,5963,1963,2592,1469,1.5,6
317.8,6197,1963,2294,2059,1,6
371.9,5695,1988,2712,1469,1.5,6
275.9,7548,1943,2552,1075,1,6
297.7,5700,1960,2936,1641,1.5,6
332.4,7889,1960,3588,1939,1.5,8
297.1,7917,1960,2016,1487,1,7
323.5,7912,1960,2842,1469,1.5,7
306.4,5273,1950,2451,1075,1,6
306.3,5914,1964,2120,1726,1,8
280.6,4410,1959,1944,1404,1,6
292.4,4463,1958,2298,1404,1,6
307.2,6691,1967,2400,1863,1,6
275.5,4800,1960,2392,1109,1,6
259.1,5273,1945,2796,1155,1,6
267.3,4298,1950,2623,1128,1,7
334.9,4860,1910,3314,1792,2,7
300.1,5608,1963,2311,1125,1,5
332.4,9820,1943,2600,1306,1.5,6
278.1,11541,1920,3508,1779,1.5,5
350.3,4654,1890,3256,1755,1.5,9
353.3,6203,1960,2160,1870,1,8
213.4,1696,1904,2496,1518,2,7
297.9,5759,1950,2624,1306,1.5,7
316.7,6004,1960,2845,1726,1,7
339,10370,1960,2836,1435,1.5,7
340.1,5712,1940,3336,2036,2,7
264.5,5963,1963,2041,1008,1,7
281.9,5739,1960,2100,1726,1,7
312.7,5633,1960,2732,1469,1.5,6
290,7280,1958,2160,1487,1,5
267,3138,1920,2468,1520,2,6
289.8,4253,1920,2792,1428,1.5,7
295.5,6298,1967,2218,1726,1,6
298.1,6506,1960,2160,1966,1,8
288.2,4159,1960,2356,1306,1.5,6
281.9,8318,1942,2376,1075,1,6
276.3,7439,1943,2459,1075,1,6
329.7,19466,1940,2563,1075,1,7
286.5,4272,1965,3084,1512,1,8
348,10493,1966,2204,1320,2,7
289.4,5211,1956,2085,984,1,6
325.5,6083,1957,2422,1472,2,7
306,6031,1960,2116,1966,1,8
309.2,6000,1960,2424,1870,1,9
293.2,7035,1955,2032,978,1,5
295.7,5836,1960,2736,1469,1.5,7
282.6,5963,1963,2136,1008,1,7
342.5,3500,1910,2520,1536,1.5,5
204.1,3854,1920,2022,962,2,6
346.5,7680,1956,2581,1354,1.5,6
290.3,4047,1920,2328,1440,2,7
273.1,5356,1960,1968,941,1,5
298.7,4310,1930,2640,1428,1.5,6
325.7,6895,1960,2066,1966,1,7
338.3,6406,1960,2066,1726,1,8
265.9,6946,1950,2339,1075,1,6
198.4,3228,1920,1755,1006,1.5,6
298.6,6935,1965,2628,1469,1.5,6
326.8,6690,1957,2900,1308,1,7
350,6900,1960,2904,1961,1,6
319.2,6315,1960,2220,1726,1,7
398.2,10044,1960,2180,1726,1,6
273.4,7931,1938,2376,1075,1,6
288.4,6000,1960,2512,1487,1,5
304.9,6858,1925,1808,1133,2,7
313.4,6031,1960,2484,1993,1,9
269.82,10947,1920,2384,1237,1.5,6
203.7,2174,1920,2952,1382,1,7
288.2,4050,1935,3224,1456,1,6
262.4,4911,1960,2084,1020,1,5
331.4,10294,1943,2944,1346,1.5,6
284,6035,1960,2106,1320,2,7
282.7,4565,1904,2416,1220,2,6
246.8,5963,1963,2160,1008,1,5
290.3,6364,1960,2136,1726,1,6
301.8,5090,1955,2525,1120,1,7
311.2,9551,1943,2508,1306,1.5,6
299.1,4772,1900,2652,1584,2,6
353.8,19264,1943,2634,1306,1.5,6
290,4050,1960,2548,1176,1,5
289.2,4501,1960,2520,1313,1.5,6
293.9,6008,1960,3041,1557,1.5,6
346.6,4500,1940,1920,960,1,7
314.2,6998,1943,2494,1536,2,7
280.7,6077,1965,2097,1726,1,6
298.6,6000,1960,2280,1682,1,6
327.9,10759,1967,2756,1469,1.5,6
442.2,4459,2007,2418,1469,2,7
232.5,2426,1904,2398,1233,1.5,6
302.2,4283,1960,1769,1104,2,5
298.2,4251,1953,2384,1320,1.5,6
317,5963,1963,2184,1008,1,7
304.8,6035,1960,2160,1726,1,8
281.7,4272,1962,1669,1104,2,5
216.2,3337,1920,2358,1223,1.5,6
302.2,13149,1955,2352,1134,1,5
356.8,17604,1969,3136,1714,1.5,5
317.8,11250,1954,2566,1244,1,6
